client,name,stem,direction,pair,actualFields,fieldTypes,possibleParameters,evidence,confidence,source
"cn-1.5.20","TRetArtifactInfo","ArtifactInfo","S2C/response","","_ArtifactData;extensionObject","_ArtifactData:System.Collections.Generic.List<pb.TRetArtifactData>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetChangeGuideState","ChangeGuideState","S2C/response","","_GuideId;_OprateType;_StepId;extensionObject","_GuideId:int;_OprateType:int;_StepId:int;extensionObject:ProtoBuf.IExtension","abort_state_handle;activeSceneChanged;add_OnFpsLevelChange;add_OnInputProviderChanged;add_OnStateChanged;add_TrackingStateChanged;add_activeSceneChanged;add_boundaryChanged;add_systemStateChanged;afterChangeCDMax;airControlState;airCtrlState","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetChangeGuideStepState","ChangeGuideStepState","S2C/response","","_GuideId;_StepId;extensionObject","_GuideId:int;_StepId:int;extensionObject:ProtoBuf.IExtension","abort_state_handle;activeSceneChanged;add_OnFpsLevelChange;add_OnInputProviderChanged;add_OnStateChanged;add_TrackingStateChanged;add_activeSceneChanged;add_boundaryChanged;add_systemStateChanged;afterChangeCDMax;airControlState;airCtrlState","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetGetGuildApplyInfo","GetGuildApplyInfo","S2C/response","","_ApplyList;extensionObject","_ApplyList:System.Collections.Generic.List<pb.TGuildApplyInfo>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;add_reapplyDrivenProperties;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetGetGuildInfo","GetGuildInfo","S2C/response","","_Name;_Emblem;_Enounce;_Notice;_Level;_Exp;_Limit;_MemberNum;_LeaderName;_LeaderId;_Deputy;_Frame;_TipList;_Process;_SacrificeInfo;_SkillList;_ApplyNum;_CreateTime;_ChatRoom;extensionObject","_Name:string;_Emblem:int;_Enounce:string;_Notice:string;_Level:int;_Exp:int;_Limit:pb.TGuildLimit;_MemberNum:int;_LeaderName:string;_LeaderId:ulong;_Deputy:System.Collections.Generic.List<ulong>;_Frame:int;_TipList:System.Collections.Generic.List<pb.TGuildTip>;_Process:int;_SacrificeInfo:System.Collections.Generic.List<pb.TSacrificeInfo>;_SkillList:System.Collections.Generic.List<pb.TGuildSkillSub>;_ApplyNum:int;_CreateTime:int;_ChatRoom:string;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetGetGuildList","GetGuildList","S2C/response","TArgGetGuildList","_TotalNum;_GuildList;extensionObject","_TotalNum:int;_GuildList:System.Collections.Generic.List<pb.TBaseGuildInfo>;extensionObject:ProtoBuf.IExtension","acklist;actionList;add_LogHistoryListReset;addressList;allImageList;allList;allowLists;arr_param_list;arr_script_list;arrowPosList;asListItem;assemblyEvidenceList","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetGetGuildMessageInfo","GetGuildMessageInfo","S2C/response","","_MsgList;extensionObject","_MsgList:System.Collections.Generic.List<pb.TGuildMessageInfo>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;add_logMessageReceived;add_logMessageReceivedThreaded;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetGetGuildTipInfo","GetGuildTipInfo","S2C/response","","_TipList;extensionObject","_TipList:System.Collections.Generic.List<pb.TGuildTipInfo>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetGetMemberInfo","GetMemberInfo","S2C/response","","_sMember;extensionObject","_sMember:System.Collections.Generic.List<pb.TGuildMemberInfo>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetGetOtherUserInfo","GetOtherUserInfo","S2C/response","","_Uid;_Uname;_Head;_HeadFrame;_Sex;_Class;_Level;_VipLevel;_Power;_AchievePoint;_Htid;_GuildId;_GuildName;_VipExp;extensionObject","_Uid:ulong;_Uname:string;_Head:int;_HeadFrame:int;_Sex:int;_Class:int;_Level:int;_VipLevel:int;_Power:int;_AchievePoint:int;_Htid:int;_GuildId:ulong;_GuildName:string;_VipExp:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;allowUserInput;appendLengthInfo;appendModeInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetGetSvrTime","GetSvrTime","S2C/response","","_NowTime;_SvrStartTime;extensionObject","_NowTime:int;_SvrStartTime:int;extensionObject:ProtoBuf.IExtension","accumulatedTimeFog;accumulationTime;actorTimeLeft;agentTimeHorizon;allLongTimePatterns;allShortTimePatterns;all_date_time_patterns;alphaChangeTime;alphaOverTime;alphaTimer;animStartTime;animTimer","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetGetUserInfo","GetUserInfo","S2C/response","","_Uid;_Uname;_LastLoginTime;_Head;_HeadFrame;_Sex;_Class;_VipLevel;_RecoverData;_Level;_Exp;_Diamond;_Gold;_Vigour;_Spirit;_HeroShopPoint;_AwakeShopPoint;_PetShopPoint;_Prestige;_Token;_Achievement;_Reputation;_RefreshTime;_GuildCoin;_HeroSoul;_GodSoul;_PetSoul;_SoulJade;_AchievePoint;_Power;_VipExp;_ChangeUNameTimes;_LoginDays;_CreateTime;_GuildCopyAtkNum;_ArenaPoint;extensionObject","_Uid:ulong;_Uname:string;_LastLoginTime:int;_Head:int;_HeadFrame:int;_Sex:int;_Class:int;_VipLevel:int;_RecoverData:System.Collections.Generic.List<pb.TUserRecover>;_Level:int;_Exp:int;_Diamond:int;_Gold:int;_Vigour:int;_Spirit:int;_HeroShopPoint:int;_AwakeShopPoint:int;_PetShopPoint:int;_Prestige:int;_Token:int;_Achievement:int;_Reputation:int;_RefreshTime:int;_GuildCoin:int;_HeroSoul:int;_GodSoul:int;_PetSoul:int;_SoulJade:int;_AchievePoint:int;_Power:int;_VipExp:int;_ChangeUNameTimes:int;_LoginDays:int;_CreateTime:int;_GuildCopyAtkNum:int;_ArenaPoint:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;allowUserInput;appendLengthInfo;appendModeInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetGetUsers","GetUsers","S2C/response","","_ArrUser;extensionObject","_ArrUser:System.Collections.Generic.List<pb.TUserInfo>;extensionObject:ProtoBuf.IExtension","m_UserSpecifiedHeight;m_UserSpecifiedWidth;userSpecifiedLayers;userState","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetGuildShopInfo","GuildShopInfo","S2C/response","","_ShopId;_GuildShelfGoodsData;_UserShelfGoodsData;extensionObject","_ShopId:int;_GuildShelfGoodsData:System.Collections.Generic.List<pb.TShopShelfGoodsData>;_UserShelfGoodsData:System.Collections.Generic.List<pb.TShopGoodsData>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetGuildUserInfo","GuildUserInfo","S2C/response","","_GuildId;_MessageCount;_QuitTime;_SkillList;_SacrificeTime;_SacrificeBox;_ApplyList;_DelApplyList;_Apply;_Post;_SacrificeMode;_SacrificeReward;_Event;_FirstReward;_DailyRewardTime;_LastAtkTime;extensionObject","_GuildId:ulong;_MessageCount:int;_QuitTime:int;_SkillList:System.Collections.Generic.List<pb.TGuildSkillSub>;_SacrificeTime:int;_SacrificeBox:int;_ApplyList:System.Collections.Generic.List<ulong>;_DelApplyList:System.Collections.Generic.List<ulong>;_Apply:System.Collections.Generic.List<pb.TGuildApply>;_Post:int;_SacrificeMode:int;_SacrificeReward:int;_Event:pb.TGuildEvent;_FirstReward:System.Collections.Generic.List<int>;_DailyRewardTime:int;_LastAtkTime:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;allowUserInput;appendLengthInfo;appendModeInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetInitQueueInfo","InitQueueInfo","S2C/response","","_QueuePos;_QueueLen;_SelfPos;extensionObject","_QueuePos:int;_QueueLen:int;_SelfPos:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;action_queue;actorInfo;actor_infos;add_OnQueueUnblocked;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;akInitializer;allInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetKickInfo","KickInfo","S2C/response","","_info;extensionObject","_info:string;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetLogin","Login","S2C/response","TArgLogin","_Ret;_FeignRoleId;extensionObject","_Ret:string;_FeignRoleId:string;extensionObject:ProtoBuf.IExtension","eStageLogin;getLoginedServerInfo;isLogined;kGetLoginedServerInfo;kLogin;kScanCookieLogin;logInfo;logInfoKeyValue;login;loginCallBack;loginEvent;onLogin","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetPopMsg","PopMsg","S2C/response","","_Msg;extensionObject","_Msg:string;extensionObject:ProtoBuf.IExtension","","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetPsUserRankData","PsUserRankData","S2C/response","","_User;_Star;_ThumbsUpCount;extensionObject","_User:pb.TRetGetOtherUserInfo;_Star:int;_ThumbsUpCount:int;extensionObject:ProtoBuf.IExtension","aData;actSkillData;activeFieldSerializationData;addData;add_DatagramReceived;aiData;air_attack_spe_data;allData;allDatas;allMovePointData;allShipSpeedData;allowUserInput","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetQueueInfo","QueueInfo","S2C/response","","_QueuePos;_QueueLen;extensionObject","_QueuePos:int;_QueueLen:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;action_queue;actorInfo;actor_infos;add_OnQueueUnblocked;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;animActoinSqueue","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetSearchGuild","SearchGuild","S2C/response","TArgSearchGuild","_GuildList;extensionObject","_GuildList:System.Collections.Generic.List<pb.TBaseGuildInfo>;extensionObject:ProtoBuf.IExtension","add_OnPathPostSearch;add_OnPathPreSearch;aerialSearch;aerialSearchCD;aerialSearchCDMax;aerialSearchDuration;aerialSearchMaxCD;aerialSearchNum;aerialSearchPlaneSpeed;aerialSearchRange;aerialSearchRangePosTrans;aerialSearchVoyage","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetShopInfo","ShopInfo","S2C/response","","_ShopId;_ResetCount;_ShopShelfGoodsData;_ShopGoodsData;_EmptyFlag;extensionObject","_ShopId:int;_ResetCount:int;_ShopShelfGoodsData:System.Collections.Generic.List<pb.TShopShelfGoodsData>;_ShopGoodsData:System.Collections.Generic.List<pb.TShopGoodsData>;_EmptyFlag:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetShopsInfo","ShopsInfo","S2C/response","","_ShopInfo;extensionObject","_ShopInfo:System.Collections.Generic.List<pb.TRetShopInfo>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetShowRedTip","ShowRedTip","S2C/response","","_Type;extensionObject","_Type:uint;extensionObject:ProtoBuf.IExtension","alwaysShowHorizontal;alwaysShowVertical;arr_attr_dock_show;arr_attr_type_show;arr_show_time;attr_dock_show;attr_type_show;autobattle_isshow;bShow;bepokeShowTimer;btnShow;buffShowModel","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetUserLogin","UserLogin","S2C/response","TArgUserLogin","_Ret;_BanMsg;_BanTime;extensionObject","_Ret:string;_BanMsg:string;_BanTime:int;extensionObject:ProtoBuf.IExtension","allowUserInput;eStageLogin;enterUserCenter;fVolAuxUserDefAtMaxDist;getLoginedServerInfo;getUserCenterName;getUserCenterNameF;getUserInformation;isLogined;kGetLoginedServerInfo;kGetUserInformation;kLogin","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetUserRank","UserRank","S2C/response","TArgUserRank","_UserRank;_User;extensionObject","_UserRank:int;_User:System.Collections.Generic.List<pb.TRetGetOtherUserInfo>;extensionObject:ProtoBuf.IExtension","allowUserInput;enterUserCenter;fVolAuxUserDefAtMaxDist;getUserCenterName;getUserCenterNameF;getUserInformation;il2cpp_class_get_rank;kGetUserInformation;kMouseRightId;lua_islightuserdata;lua_pushlightuserdata;lua_touserdata","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
